local_index,bodyId,type,instance,side,role,nt,sign,sector,input_channel_kind,input_gain,superclass
257,11205,SAD073,SAD073_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
258,13274,SAD073,SAD073_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
259,10315,SAD073,SAD073_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
260,14861,WED060,WED060_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
261,12459,WED109,WED109_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
262,10728,WED116,WED116_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
263,18340,WED125,WED125_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
264,19187,WED125,WED125_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
265,17908,WED125,WED125_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
266,10030,pIP1,pIP1_L,L,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
267,10038,pIP1,pIP1_R,R,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
268,15597,,,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
269,17556,,,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
270,22584,,,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
271,17284,,,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
272,21641,,,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
273,34740,,,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
274,12032,LC4,LC4_L,L,vpn,acetylcholine,1.0,0,expansion,1.0,visual_projection
275,12349,LC4,LC4_L,L,vpn,acetylcholine,1.0,1,expansion,1.0,visual_projection
276,12824,LC4,LC4_L,L,vpn,acetylcholine,1.0,2,expansion,1.0,visual_projection
277,14888,LC4,LC4_L,L,vpn,acetylcholine,1.0,3,expansion,1.0,visual_projection
